month/day,Anger,Disgust,Fear,Joy,Sadness,Surprise,Trust,Anticipation
2017-05-07,0.04938271604938271,0.012345679012345678,0.08641975308641975,0.11728395061728394,0.043209876543209874,0.14814814814814814,0.5308641975308642,0.012345679012345678
2017-05-08,0.035402298850574714,0.02160919540229885,0.0735632183908046,0.10574712643678161,0.04597701149425287,0.13839080459770114,0.5664367816091954,0.012873563218390805
2017-05-09,0.033810143042912875,0.02990897269180754,0.06176853055916775,0.1033810143042913,0.05071521456436931,0.14889466840052015,0.55851755526658,0.013003901170351105
2017-05-10,0.031797070382279385,0.038227938549481956,0.06252232940335835,0.10396570203644159,0.04930332261521972,0.11789924973204716,0.5802072168631655,0.01607717041800643
2017-05-11,0.03076923076923077,0.042735042735042736,0.05868945868945869,0.12307692307692308,0.05185185185185185,0.14985754985754987,0.5339031339031339,0.009116809116809116
2017-05-12,0.030980041703902294,0.01757521596663688,0.07208817396484957,0.10962168602919273,0.03961870717902889,0.12213285671730711,0.5981531128984212,0.009830205540661306
2017-05-13,0.032846715328467155,0.0267639902676399,0.07907542579075426,0.11070559610705596,0.046228710462287104,0.15936739659367397,0.5267639902676399,0.01824817518248175
2017-05-14,0.024291497975708502,0.02631578947368421,0.03643724696356275,0.145748987854251,0.048582995951417005,0.19433198380566802,0.5060728744939271,0.018218623481781375
2017-05-15,0.03576751117734724,0.028315946348733235,0.05514157973174367,0.13710879284649777,0.037257824143070044,0.14307004470938897,0.5484351713859911,0.014903129657228018
2017-05-16,0.02034248936903804,0.026318813929433398,0.07527870359728767,0.11067693368578324,0.04493736352143432,0.16572807723250202,0.5472934145500518,0.0094242041144696
2017-05-17,0.02343042071197411,0.024336569579288026,0.07715210355987055,0.11171521035598705,0.04233009708737864,0.21281553398058253,0.49527508090614886,0.012944983818770227
2017-05-18,0.0193642191527328,0.023726125173484897,0.058687462824664596,0.0937148899610072,0.04176855462295949,0.173683167008129,0.5786134426012821,0.010442138655739872
2017-05-19,0.01915144372421921,0.014437242192103713,0.06894519740718916,0.09325279905715969,0.03624042427813789,0.21258102533883325,0.5405126694166176,0.01487919858573954
2017-05-20,0.014948453608247423,0.01752577319587629,0.05360824742268041,0.21082474226804124,0.04896907216494845,0.2154639175257732,0.4302405498281787,0.008419243986254295
2017-05-21,0.022942737959802808,0.024080394387561623,0.09404626469472886,0.15073947667804324,0.08361774744027303,0.2030716723549488,0.40405764125900645,0.017444065225635193
