month/day,Anger,Disgust,Fear,Joy,Sadness,Surprise
2017-05-07,0.125,0.022727272727272728,0.20454545454545456,0.19318181818181818,0.10227272727272728,0.3522727272727273
2017-05-08,0.07255244755244755,0.044580419580419584,0.21853146853146854,0.229020979020979,0.08916083916083917,0.34615384615384615
2017-05-09,0.08242424242424243,0.05818181818181818,0.19515151515151516,0.24484848484848484,0.08848484848484849,0.33090909090909093
2017-05-10,0.06622516556291391,0.07682119205298013,0.20132450331125828,0.24039735099337747,0.08940397350993377,0.3258278145695364
2017-05-11,0.062023939064200215,0.07725788900979326,0.16213275299238303,0.26332970620239393,0.08487486398258977,0.35038084874863984
2017-05-12,0.08628571428571429,0.038285714285714284,0.22114285714285714,0.25771428571428573,0.07028571428571428,0.3262857142857143
2017-05-13,0.0765661252900232,0.06496519721577726,0.2088167053364269,0.2552204176334107,0.06960556844547564,0.3248259860788863
2017-05-14,0.03678929765886288,0.05016722408026756,0.14715719063545152,0.3076923076923077,0.07357859531772576,0.38461538461538464
2017-05-15,0.08808290155440414,0.04922279792746114,0.18393782383419688,0.27979274611398963,0.06476683937823834,0.33419689119170987
2017-05-16,0.04209858261053522,0.029405542627459275,0.25132219166490377,0.2415908610112122,0.05965728792045695,0.3759255341654326
2017-05-17,0.03621103117505995,0.03741007194244604,0.22422062350119903,0.23309352517985613,0.06402877697841726,0.4050359712230216
2017-05-18,0.04079729572211213,0.03858258538291176,0.32428021913975985,0.19128103508567432,0.07122042196060147,0.3338384427089404
2017-05-19,0.026643426294820718,0.02440239043824701,0.3125,0.27739043824701193,0.052290836653386456,0.30677290836653387
2017-05-20,0.02380269572698595,0.025810151993117293,0.14797820476053913,0.4155434470891884,0.06395182104961285,0.3229136793805564
2017-05-21,0.04122657580919932,0.04565587734241908,0.1747870528109029,0.29948892674616695,0.11175468483816013,0.3270868824531516
2017-05-22,0.029632556301856974,0.05847491110233109,0.17028842354800475,0.3255630185697353,0.07902015013828527,0.33702094033978663
2017-05-23,0.03834554071520896,0.06764325721671693,0.2089616544592848,0.23308918569582077,0.07582938388625593,0.37613097802671264
2017-05-24,0.03350515463917526,0.030927835051546393,0.14175257731958762,0.34375,0.06153350515463918,0.38853092783505155
2017-05-25,0.03443287037037037,0.05092592592592592,0.15653935185185186,0.3237847222222222,0.11400462962962964,0.3203125
2017-05-26,0.04349415204678363,0.04751461988304093,0.1915204678362573,0.3267543859649123,0.07383040935672515,0.3168859649122807
2017-05-27,0.052559257986946065,0.042597045688766745,0.2507729302645139,0.2597045688766747,0.06561319134318104,0.32875300583991757
2017-05-28,0.05712342740564434,0.048622917375042506,0.21540292417545054,0.2512750765045903,0.0953757225433526,0.33219993199591974
2017-05-29,0.04104712041884817,0.073717277486911,0.17821989528795812,0.261151832460733,0.10324607329842932,0.3426178010471204
2017-05-30,0.03834000421318728,0.052664840952180325,0.17147672214029913,0.2500526648409522,0.07920792079207921,0.40825784706130186
2017-05-31,0.049813653304245066,0.04535951277156622,0.1732569766384874,0.24743205163166984,0.0876283974184165,0.3965094082356149
2017-06-01,0.06654991243432574,0.04010507880910683,0.18336252189141855,0.18441330998248687,0.05858143607705779,0.4669877408056042
2017-06-02,0.11953974003835499,0.047943746004687836,0.19838056680161945,0.234178563818453,0.07670999360750053,0.3232473897293842
2017-06-03,0.10537142857142857,0.0528,0.2473142857142857,0.19794285714285714,0.08822857142857143,0.30834285714285714
2017-06-04,0.0643581081081081,0.04273648648648649,0.48969594594594595,0.13597972972972974,0.07719594594594595,0.19003378378378377
2017-06-05,0.05102601685599121,0.08437156467570539,0.3083547086844998,0.18175155734701356,0.0990289483327226,0.27546720410406744
